TS_Ace:4380, 2391:0
TS_2:4041, 3060:0
TS_3:3519, 2238:0
TS_4:5740, 3015:0
TS_5:5120, 3305:0
TS_6:4555, 1433:0
TS_7:3840, 3389:0
TS_8:6098, 2908:0
TS_9:1893, 3673:0
TS_10:4482, 1269:0
TS_Knight:1179, 4003:0
TS_Page:4154, 1541:0
TS_Queen:6088, 896:0
TS_King:6172, 2807:0
TC_Ace:3762, 714:0
TC_2:5181, 3429:0
TC_3:1605, 3831:0
TC_4:6410, 1837:0
TC_5:3909, 2541:0
TC_6:3580, 2725:0
TC_7:5696, 2217:0
TC_8:4227, 529:0
TC_9:6314, 2754:0
TC_10:5376, 2893:0
TC_Knight:3728, 1476:0
TC_Page:5392, 3591:0
TC_Queen:5478, 1689:0
TC_King:5457, 3026:0
TW_Ace:5209, 3271:0
TW_2:5456, 2889:0
TW_3:3238, 2334:0
TW_4:5469, 1955:0
TW_5:2537, 3948:0
TW_6:4379, 2408:0
TW_7:5929, 2523:0
TW_8:6390, 1868:0
TW_9:5029, 2471:0
TW_10:5821, 1816:0
TW_Knight:3951, 1144:0
TW_Page:5306, 2250:0
TW_Queen:5867, 2562:0
TW_King:4798, 2196:0
TP_Ace:975, 4145:0
TP_2:2371, 3791:0
TP_3:3495, 2408:0
TP_4:3297, 3356:0
TP_5:4333, 1124:0
TP_6:4888, 1773:0
TP_7:3704, 3839:0
TP_8:5262, 1886:0
TP_9:5965, 2650:0
TP_10:6093, 2013:0
TP_Knight:6143, 1756:0
TP_Page:6050, 1147:0
TP_Queen:3464, 2402:0
TP_King:5673, 2475:0
TW:4717, 1580:0
IW:6234, 2902:0
SW:5630, 2804:0
Absinthe:2214, 4133:0
GCM:2834, 2096:0
OTG:2994, 3037:0
CR:3749, 687:0
Cognac:6290, 1858:0
LDG:5196, 3275:0
1800GQ:5711, 2603:2
1798DBSD:6071, 1829:2
1787OCT:3528, 2992:2
1794SD:2399, 4039:2
1700NYT:2908, 1748:2
1800FDB:5307, 934:2
1792Q:5147, 2018:2
1800GD:5313, 3016:2
1792N:6512, 1244:2
1796HP:1243, 4019:2
1795HE:4628, 1912:2
1797GE:3567, 3521:2
1792LQ:4424, 1355:2
1800HD:3188, 2499:2
1789P:5315, 2539:2
AR_R:3344, 3896:1
AR_SP:4861, 838:1
AR_CR:5326, 2761:1
AR_CH:3303, 3428:1
AR_F1:3094, 2801:1
AR_S:5344, 1467:1
AR_B:5483, 3316:1
AR_Raw:4884, 2377:1
AR_Ob:2790, 2343:2
AR_Q:1086, 3888:2
AR_F2:6093, 2006:1
AR_A:4475, 1971:2
HCR:6159, 1746:2
MTR:5747, 3324:0
PMR:6106, 955:1
BPR:3501, 2328:0
BTR:5037, 1071:1
BDR:3732, 1883:2
YDR:3906, 1752:2
AOR:3201, 1816:2
BER:3891, 3024:2
SDR:4211, 1660:2
TTR:2374, 4382:2
GSR:4202, 1861:0
ARBB:6050, 1646:0
ORGBB:6050, 1646:0
HSB:2553, 3317:0
DPB:4523, 1351:0
ITB:3603, 3912:0
ECB:3620, 1738:2
HGBB:4049, 1807:0
UCE:5041, 1460:1
RVDE:3932, 2136:2
CTE:6350, 1558:2
ODE:4114, 2530:2
STE:5434, 2583:1
HGE:3721, 3256:2
DEE:5003, 1308:2
BRE:5122, 2370:2
EDE:5468, 1292:2
JPE:6031, 1330:0
ECE:1292, 3979:2
BMN:3853, 1669:0
RAN:3572, 3022:0
PPN:4777, 1990:2
ACN:6065, 2640:0
BAN:5489, 1497:0
RPN:5483, 3246:0
GWGN:891, 4536:2
DTN:1260, 4440:0
TPN:4223, 2699:2
JH:4005, 2972:0
CC:5056, 1666:0
EH1:4115, 3079:0
MH:6141, 781:1
CWH:3327, 3348:1
BC:4077, 1969:0
GHB:6393, 1853:0
EH2:5479, 3029:0
IH:6101, 2933:0
RH:6394, 1365:0
TC:1164, 3663:0
IC:6001, 2391:0
HHR:6215, 2778:0
BBB:982, 4488:0
NGRH:5397, 3030:0
Spoonbill:6304, 2615:0
Heron:5640, 2800:0
Loon:3904, 2741:0
EagleE1:3651, 2397:0
EagleE2:3375, 840:0
VultureE:6210, 1115:0
HawkE1:4446, 1195:0
HawkE2:3659, 590:0
EgretE:6106, 2357:0
DuckE:6277, 843:0
GooseE:5597, 3466:0
